;anne_hidalgo;bayrou;benoithamon;bruno_lemaire;cecileduflot;christineboutin;chtaubira;datirachida;eelv;evajoly;fhollande;fleurpellerin;fn_officiel;francoisfillon;harlemdesir;jf_cope;jlmelenchon;manuelvalls;martineaubry;mlp_officiel;modem;montebourg;nadine__morano;najatvb;nicolassarkozy;nk_m;partisocialiste;royalsegolene;ump;vpecresse;alainjuppe
evajoly;3321.8044152142847;4952.989401211682;3618.0868419247604;828.318947319895;7029.451040541708;2275.711858919124;2831.8862885313833;1228.0623251484944;4210.136383735019;27693.302503015897;7945.669504448294;2022.8161230629216;345.33003113659584;1850.805672721865;1459.4663170220035;3156.1827716344606;6341.455993304494;1861.5091118968953;4564.726731139002;3882.862622998347;566.4356638517553;5383.43766969148;1718.4330055598127;3597.2619144934206;2575.7131491955756;3627.6706721607115;1668.9769716686887;4838.137319793738;927.9438982457326;2549.4268146167615;1564.9880357951884
fhollande;22515.105760736056;19516.653769971537;12024.835571297432;2640.023849654635;15816.000061734338;3089.164918013549;12800.253681061327;4209.555820365515;4127.971211657475;7945.669504448294;490871.8428568058;18046.025310367633;2169.974459881906;6789.327781944296;3881.904777367883;10173.147864597759;21476.688321891917;17042.30109192145;12501.126764706018;21431.697616105415;1917.893883036581;18757.195320503168;8419.577699605708;25793.695363662515;51906.19417169095;22894.051971458288;8288.435857544966;25199.653508567695;5150.220326360136;5452.627839173569;7951.849730532747
fleurpellerin;15047.787238795469;3093.5520769021855;4489.229359151724;1522.204437087348;5497.94073288902;822.0503607506294;5484.238653438973;1663.129398416153;1326.2322133404875;2022.8161230629216;18046.025310367633;77722.9768809759;398.6427740086185;2032.374762635338;1990.60639889124;1920.0412051515013;3344.009097568321;4228.578921170066;2108.3625586075286;1774.1454105093474;449.7003193273553;7408.422914871928;1801.5056687792517;14143.910495088683;3963.51764468993;13053.276941055736;2393.1398918754603;4750.076462662087;1288.0248659478157;1922.5960332167645;3005.884848764573
fn_officiel;770.7062658727455;1206.1773588142391;620.8065116428215;447.46831182963786;919.9984174793879;737.7372309410846;623.7634168485488;598.4325006006825;545.3838245188243;345.33003113659584;2169.974459881906;398.6427740086185;23269.980780237827;1326.8247762714648;518.8301887746493;1354.315444746416;1905.8929319476624;739.3729093653698;330.651089138833;16935.964473345593;441.4651216674331;1081.4642865474939;758.5078482287188;892.7008337444088;3585.3072365655325;1139.343455239228;1192.6390144786435;879.672634541463;2255.351416572571;572.3354975346087;834.958957476986
francoisfillon;5760.315671775637;7699.27149318902;2200.7502454273676;3706.2192771594896;4996.383893831314;3321.62140087965;2272.360132361602;3465.795446476076;2680.147191437985;1850.805672721865;6789.327781944296;2032.374762635338;1326.8247762714648;46488.218453719455;1421.20298972506;9179.002827484574;15033.874924913065;2777.3177121324297;2576.9501364286025;15954.500852969339;695.8834961441013;6767.366313410538;3240.921868186124;3670.762115416175;12164.591493700631;8111.551495627393;1861.1262435939022;3780.649302824482;6677.129985773183;5413.194606516925;7883.557435322918
harlemdesir;2613.825766520051;2022.9310104068331;2937.01527086843;828.3739752581262;3048.201062392775;897.2777721450118;2600.620525698702;1088.629392825415;1163.2962114517754;1459.4663170220035;3881.904777367883;1990.60639889124;518.8301887746493;1421.20298972506;8455.302756600595;1661.0259008223097;2344.2416311625743;1941.2418924294948;1901.0921630505209;1363.0681634638281;499.3137968333501;3531.192992511614;1096.4604702418253;3541.866519156197;1807.049037227309;1992.395388568133;2867.585162209389;2941.927329208655;1090.7535995825983;1231.8657508631366;1411.4357867205126
jf_cope;4075.56789163582;7623.283966719632;3623.221578478543;3036.3267195732883;5875.1845176940915;3811.6044444853555;2117.8233597400863;3734.664767512454;2578.7539614101897;3156.1827716344606;10173.147864597759;1920.0412051515013;1354.315444746416;9179.002827484574;1661.0259008223097;38869.67598191165;6432.440562417793;2591.11418539904;4475.144730428522;8656.164423291611;893.6946453287105;7020.413964005913;5005.654919192919;3745.272505933755;13986.663104581854;10600.950814601725;2082.7937228347664;5342.443088559924;7715.470421853802;6888.076890381681;6130.3788175898435
jlmelenchon;11392.373419082296;14026.490055063545;5846.06274695123;1534.1777052280775;12772.478554867177;4005.461263370107;6841.483869541951;2357.928093719384;4792.887090981609;6341.455993304494;21476.688321891917;3344.009097568321;1905.8929319476624;15033.874924913065;2344.2416311625743;6432.440562417793;142903.52231946238;4048.1256466429;5844.745304815534;43282.87704718339;896.2601355294963;12922.13576873321;3467.991324597253;8478.975025144118;14457.061594823774;8706.452357303366;3840.447545828764;7847.24767201129;2606.675034668324;3384.93436305243;3550.3025981926385
manuelvalls;4239.456743736285;3860.226525435094;3962.3970736177216;1731.9743852871907;4316.031393526146;908.428605993588;4895.857263108564;1980.1987704561038;1084.333137964187;1861.5091118968953;17042.30109192145;4228.578921170066;739.3729093653698;2777.3177121324297;1941.2418924294948;2591.11418539904;4048.1256466429;37279.620219368524;2827.0784993460366;3507.8906106211343;525.4144840808469;5938.652757803242;2280.7420193045655;8269.229139572475;8458.031240493163;4056.031649830736;2837.6265681756554;6676.078198403209;1931.2993369846927;2011.665931866891;4017.4575997972934
martineaubry;4630.149067006432;5917.8055534688965;5362.9593169524;906.878958946392;6543.535851420379;2793.8643235048366;2638.3669514758853;1334.6474898563563;2962.6060178703574;4564.726731139002;12501.126764706018;2108.3625586075286;330.651089138833;2576.9501364286025;1901.0921630505209;4475.144730428522;5844.745304815534;2827.0784993460366;28228.34596094726;4761.999825064314;605.9964924345662;7430.321576105455;1957.1810570529565;4393.683951068479;3257.329260462189;4608.966751879154;2752.0915992956757;7388.932298747058;1045.8013412981727;3009.8371294098774;1779.5990258500856
